,Keynumber,Helmholtzname,Scientificname,Frequency (Hz)
1,88,C,C8 Eighth octave,4188.0
2,87,B,B7,3952.0
3,86,A♯/B♭,A♯7/B♭7,3730.0
4,85,A,A7,3520.0
5,84,G♯/A♭,G♯7/A♭7,3322.0
6,83,G,G7,3136.0
7,82,F♯/G♭,F♯7/G♭7,2960.0
8,81,F,F7,2794.0
9,80,E,E7,2638.0
10,79,D♯/E♭,D♯7/E♭7,2490.0
11,78,D,D7,2350.0
12,77,C♯/D♭,C♯7/D♭7,2218.0
13,76,C,C7 Double high C,2094.0
14,75,B,B6,1976.0
15,74,A♯/B♭,A♯6/B♭6,1865.0
16,73,A,A6,1760.0
17,72,G♯/A♭,G♯6/A♭6,1661.0
18,71,G,G6,1568.0
19,70,F♯/G♭,F♯6/G♭6,1480.0
20,69,F,F6,1397.0
21,68,E,E6,1319.0
22,67,D♯/E♭,D♯6/E♭6,1245.0
23,66,D,D6,1175.0
24,65,C♯/D♭,C♯6/D♭6,1109.0
25,64,C,C6 Soprano C (High C),1047.0
26,63,B,B5,988.0
27,62,A♯/B♭,A♯5/B♭5,932.5
28,61,A,A5,880.0
29,60,G♯/A♭,G♯5/A♭5,830.5
30,59,G,G5,784.0
31,58,F♯/G♭,F♯5/G♭5,740.0
32,57,F,F5,698.5
33,56,E,E5,659.5
34,55,D♯/E♭,D♯5/E♭5,622.5
35,54,D,D5,587.5
36,53,C♯/D♭,C♯5/D♭5,554.5
37,52,C,C5 Tenor C,523.5
38,51,B,B4,494.0
39,50,A♯/B♭,A♯4/B♭4,466.2
40,49,A,A4 A440,440.0
41,48,G♯/A♭,G♯4/A♭4,415.2
42,47,G,G4,392.0
43,46,F♯/G♭,F♯4/G♭4,370.0
44,45,F,F4,349.2
45,44,E,E4,329.8
46,43,D♯/E♭,D♯4/E♭4,311.2
47,42,D,D4,293.8
48,41,C♯/D♭,C♯4/D♭4,277.2
49,40,C,C4 Middle C,261.8
50,39,B,B3,247.0
51,38,A♯/B♭,A♯3/B♭3,233.1
52,37,A,A3,220.0
53,36,G♯/A♭,G♯3/A♭3,207.6
54,35,G,G3,196.0
55,34,F♯/G♭,F♯3/G♭3,185.0
56,33,F,F3,174.6
57,32,E,E3,164.9
58,31,D♯/E♭,D♯3/E♭3,155.6
59,30,D,D3,146.9
60,29,C♯/D♭,C♯3/D♭3,138.6
61,28,C,C3,130.9
62,27,B,B2,123.5
63,26,A♯/B♭,A♯2/B♭2,116.56
64,25,A,A2,110.0
65,24,G♯/A♭,G♯2/A♭2,103.8
66,23,G,G2,98.0
67,22,F♯/G♭,F♯2/G♭2,92.5
68,21,F,F2,87.3
69,20,E,E2,82.44
70,19,D♯/E♭,D♯2/E♭2,77.8
71,18,D,D2,73.44
72,17,C♯/D♭,C♯2/D♭2,69.3
73,16,C,C2 Deep C,65.44
74,15,B,B1,61.75
75,14,A♯/B♭,A♯1/B♭1,58.28
76,13,A,A1,55.0
77,12,G♯/A♭,G♯1/A♭1,51.9
78,11,G,G1,49.0
79,10,F♯/G♭,F♯1/G♭1,46.25
80,9,F,F1,43.66
81,8,E,E1,41.22
82,7,D♯/E♭,D♯1/E♭1,38.9
83,6,D,D1,36.72
84,5,C♯/D♭,C♯1/D♭1,34.66
85,4,C,C1 Pedal C,32.72
86,3,B,B0,30.88
87,2,A♯/B♭,A♯0/B♭0,29.14
88,1,A,A0,27.5
